ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
47,Erling Rudolf Aastad,M,30,177,74,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,NA
102,Sayed Fahmy Abaza,M,NA,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,NA
142,"David ""Dave"" Abbott",M,26,183,75,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 5,000 metres",NA
255,Mahmoud Ahmed Abdin,M,21,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Individual",NA
255,Mahmoud Ahmed Abdin,M,21,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team",NA
281,S. Abdul Hamid,M,NA,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,NA
281,S. Abdul Hamid,M,NA,NA,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,NA
385,"Max ""Xam"" Abegglen",M,26,NA,NA,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,NA
389,Adolf Gaston Abel,M,45,NA,NA,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",NA
389,Adolf Gaston Abel,M,45,NA,NA,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",NA
453,Leslie Ablett,M,24,NA,NA,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo,NA
529,Karl Gustaf Emanuel Abrahamsson,M,31,NA,NA,Sweden,SWE,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
642,Ervin S. Acel,M,39,NA,NA,United States,USA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team",NA
802,Tadeusz Ralf Adamowski,M,26,177,70,Poland,POL,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
838,Ralph Andrew Adams,M,20,170,56,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,NA
838,Ralph Andrew Adams,M,20,170,56,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,NA
838,Ralph Andrew Adams,M,20,170,56,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,NA
845,"Birgitta Ann-Agnes ""Bride"" Adams-Ray",F,21,NA,NA,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,NA
872,Elie Adda,M,NA,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Individual",NA
872,Elie Adda,M,NA,NA,NA,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",NA
874,"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)",F,20,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",NA
875,Jenny Marie Beatrice Addams,F,19,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",NA
909,Andr Adelheim,M,22,177,70,France,FRA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,NA
914,Lambert Adelot,M,29,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,NA
986,Adriana Johanna Jacoba Admiraal-Meijerink,F,34,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual",NA
996,Karl Tage Herbert Adolfsson,M,21,182,72,Sweden,SWE,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's High Jump,NA
1016,J. Adriaenssens,M,NA,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,NA
1051,"Mechelina Agnes Elisabeth ""Lies"" Aengenendt",F,20,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 100 metres,NA
1051,"Mechelina Agnes Elisabeth ""Lies"" Aengenendt",F,20,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,NA
1054,Jean Aerts,M,20,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",NA
1054,Jean Aerts,M,20,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",NA
1054,Jean Aerts,M,20,NA,NA,Belgium,BEL,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's 1,000 metres Time Trial",NA
1064,Albert Aeschmann,M,27,NA,74,Switzerland,SUI,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight,NA
1137,"William Ashby ""Bill"" Agee",M,22,NA,NA,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Marathon,NA
1192,Carlo Agostoni Faini,M,19,170,NA,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
1211,"Estella ""Stella"" Agsteribbe (-Blits)",F,19,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Gold
1284,Jess Aguirre Delgado,M,NA,175,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Shot Put,NA
1284,Jess Aguirre Delgado,M,NA,175,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Discus Throw,NA
