ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
404,"Louis Grenville ""Lou"" Abell",M,19,NA,NA,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
806,"Bartlett S. ""Bart"" Adams",M,38,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 220 yard Freestyle,NA
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,NA
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's One Mile Freestyle,NA
813,Edgar Holmes Adams,M,36,NA,NA,New York Athletic Club #2-4,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,NA
813,Edgar Holmes Adams,M,36,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
2836,Claude Arthur Allen,M,19,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Pole Vault,NA
2842,"Henry Woodward ""Harry"" Allen",M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
2906,Louis Allis,M,37,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
2991,Almighty Voice,M,NA,NA,NA,Mohawk Indians-2,CAN,1904 Summer,1904,Summer,St. Louis,Lacrosse,Lacrosse Men's Lacrosse,Bronze
3277,Charles Aman,M,16,NA,NA,Mound City Rowing Club-2,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Silver
3669,William Peter Andelfinger,M,23,168,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
3669,William Peter Andelfinger,M,23,168,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
3669,William Peter Andelfinger,M,23,168,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
4153,Arthur Fleming Andrews,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 1/4 mile,NA
4153,Arthur Fleming Andrews,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 1/2 mile,NA
4153,Arthur Fleming Andrews,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 5 mile,Bronze
4153,Arthur Fleming Andrews,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 25 mile,Silver
4330,Clarence Victor Angier,M,50,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
4417,Alfred Heacock Annan,M,29,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
5153,Charles Ewing Armstrong,M,22,NA,NA,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
5497,George Aschenbrener,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
5497,George Aschenbrener,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
5497,George Aschenbrener,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
5497,George Aschenbrener,M,NA,NA,NA,"La Salle Turnverein, Chicago",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,NA
5527,Lesley Ashburner,M,20,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 110 metres Hurdles,Bronze
6019,Albert William Austin,M,47,NA,NA,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
6020,Albert Edison Austin,M,15,180,NA,Canada,CAN,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Individual,NA
6441,John C. Babcock,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Featherweight, Freestyle",NA
6617,"Charles James Bacon, Jr.",M,19,183,77,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,"Athletics Men's 1,500 metres",NA
6882,Arthur B. Bailey,M,NA,NA,NA,Toronto Argonauts,CAN,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Silver
7886,Ervin Jeremiah Barker,M,21,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's High Jump,NA
8190,Maurice Joseph Barry,M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
8190,Maurice Joseph Barry,M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
8190,Maurice Joseph Barry,M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
8305,Charles Albert Bartliff,M,17,NA,NA,Christian Brothers' College-1,USA,1904 Summer,1904,Summer,St. Louis,Football,Football Men's Football,Silver
8413,M. Bascher,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
8413,M. Bascher,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
8413,M. Bascher,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
8413,M. Bascher,M,NA,NA,NA,"Passaic Turnverein, Passaic",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,NA
8700,Gustave George Bauer,M,20,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
9007,Rex Ellingwood Beach,M,26,NA,NA,Chicago Athletic Association-2,USA,1904 Summer,1904,Summer,St. Louis,Water Polo,Water Polo Men's Water Polo,Silver
9148,Albert John Bechestobill,M,25,180,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Welterweight, Freestyle",NA
9247,"William ""Bill"" Beckman",M,23,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
9382,"Michael ""Mike"" Begley",M,31,NA,NA,Mound City Rowing Club-2,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Silver
9627,"Alphonzo Edward Bell, Sr.",M,28,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Tennis,Tennis Men's Singles,Bronze
9627,"Alphonzo Edward Bell, Sr.",M,28,NA,NA,United States-2,USA,1904 Summer,1904,Summer,St. Louis,Tennis,Tennis Men's Doubles,Silver
10377,Bernard Berg,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
10377,Bernard Berg,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
10377,Bernard Berg,M,NA,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
10377,Bernard Berg,M,NA,NA,NA,"Davenport Turngemeinde, Davenport",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,NA
10396,Ragnvald Marinus (-Reginald)  Berg,M,24,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
10396,Ragnvald Marinus (-Reginald)  Berg,M,24,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
10396,Ragnvald Marinus (-Reginald)  Berg,M,24,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
10396,Ragnvald Marinus (-Reginald)  Berg,M,24,NA,NA,"Norwegier Turnverein, Brooklyn",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,NA
10464,"Samuel ""Sam"" Berger",M,19,188,82,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Heavyweight,Gold
10939,William Berwald,M,29,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
10939,William Berwald,M,29,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
10939,William Berwald,M,29,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
10939,William Berwald,M,29,NA,NA,"Turnverein Vorwrts, Cleveland",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,NA
11132,Emil Beyer,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,NA
11132,Emil Beyer,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",NA
11132,Emil Beyer,M,27,NA,NA,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",NA
11132,Emil Beyer,M,27,NA,NA,"New York Turnverein, New York",USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Team All-Around,Silver
