ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
15,Arvo Ossian Aaltonen,M,34,NA,NA,Finland,FIN,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 200 metres Breaststroke,NA
47,Erling Rudolf Aastad,M,26,177,74,Norway,NOR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Long Jump,NA
58,Georgi Abadzhiev,M,NA,NA,NA,Bulgaria,BUL,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Individual",NA
58,Georgi Abadzhiev,M,NA,NA,NA,Bulgaria,BUL,1924 Summer,1924,Summer,Paris,Cycling,"Cycling Men's Road Race, Team",NA
79,Carlos Abarca Gonzlez,M,23,NA,NA,Chile,CHI,1924 Summer,1924,Summer,Paris,Boxing,Boxing Men's Featherweight,NA
385,"Max ""Xam"" Abegglen",M,22,NA,NA,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Silver
391,Clarence John Abel,M,23,185,102,United States,USA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
398,Roger Abel,M,24,NA,NA,Monaco,MON,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,NA
519,Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
677,Georges Achille-Fould,F,55,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,NA
696,Charles Acke,M,NA,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Individual",NA
744,Jzsef Aczl (-Eisenhoffer),M,23,NA,NA,Hungary,HUN,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,NA
783,Stefan Adamczak,M,31,175,73,Poland,POL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Pole Vault,NA
913,Marcel Louis Ernest Alfred Charles Albert Adelon,M,38,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot",NA
913,Marcel Louis Ernest Alfred Charles Albert Adelon,M,38,NA,NA,France,FRA,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Double Shot",NA
928,Alfred Ader,M,31,166,60,Poland,POL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",NA
968,"Margarete ""Grete"" Adler",F,28,NA,NA,Austria,AUT,1924 Summer,1924,Summer,Paris,Diving,Diving Women's Plain High,NA
977,Erik William Adlerz,M,31,NA,NA,Sweden,SWE,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Platform,NA
977,Erik William Adlerz,M,31,NA,NA,Sweden,SWE,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Plain High,NA
986,Adriana Johanna Jacoba Admiraal-Meijerink,F,30,NA,NA,Netherlands,NED,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Women's Foil, Individual",NA
992,Josef Adolf,M,25,NA,NA,Czechoslovakia,TCH,1924 Winter,1924,Winter,Chamonix,Nordic Combined,Nordic Combined Men's Individual,NA
1015,Conrad Adriaenssens,M,53,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",NA
1015,Conrad Adriaenssens,M,53,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",NA
1015,Conrad Adriaenssens,M,53,NA,NA,Belgium,BEL,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
1061,Frdric Charles Aeschlimann,M,27,NA,NA,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,NA
1061,Frdric Charles Aeschlimann,M,27,NA,NA,Switzerland-1,SUI,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Doubles,NA
1064,Albert Aeschmann,M,23,NA,74,Switzerland,SUI,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Middleweight,NA
1077,Xavier Affentranger,M,26,NA,NA,Switzerland,SUI,1924 Winter,1924,Winter,Chamonix,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
1077,Xavier Affentranger,M,26,NA,NA,Switzerland,SUI,1924 Winter,1924,Winter,Chamonix,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,NA
