ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
40,Roald Edgar Aas,M,27,NA,NA,Norway,NOR,1956 Winter,1956,Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 1,500 metres",NA
40,Roald Edgar Aas,M,27,NA,NA,Norway,NOR,1956 Winter,1956,Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 5,000 metres",NA
46,Hans Aasns,M,53,194,93,Norway,NOR,1956 Summer,1956,Summer,Melbourne,Shooting,Shooting Men's Trap,NA
56,Ren Abadie,M,21,NA,NA,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Individual",NA
56,Ren Abadie,M,21,NA,NA,France,FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
59,Ivan Nikolov Abadzhiev,M,24,164,71,Bulgaria,BUL,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,NA
424,Moira Abernethy (-Ford),F,17,NA,NA,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
424,Moira Abernethy (-Ford),F,17,NA,NA,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,NA
502,Ahmad Shah Abouwi,M,NA,NA,NA,Afghanistan,AFG,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,NA
553,John Charles Abrams,M,22,183,NA,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,NA
689,Roger Achten,M,28,171,62,Belgium,BEL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual",NA
689,Roger Achten,M,28,171,62,Belgium,BEL,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Team",NA
692,"James Dudley ""Jim"" Achurch",M,28,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Javelin Throw,NA
905,Alberto Adela,M,NA,NA,NA,Philippines,PHI,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Bantamweight,NA
1127,Giancarlo Agazzi,M,23,178,73,Italy,ITA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
1147,Viktor Ivanovich Ageyev,M,20,184,80,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
1172,Marysette Agnel,F,29,NA,NA,France,FRA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
1172,Marysette Agnel,F,29,NA,NA,France,FRA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
1172,Marysette Agnel,F,29,NA,NA,France,FRA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
1185,"Michael George Raymond ""Mike"" Agostini",M,21,171,66,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
1185,"Michael George Raymond ""Mike"" Agostini",M,21,171,66,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
1365,Gustav Rune hlund,M,26,NA,NA,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Athletics,"Athletics Men's 5,000 metres",NA
1365,Gustav Rune hlund,M,26,NA,NA,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Athletics,"Athletics Men's 10,000 metres",NA
1399,A. Hussain Ahmed,M,NA,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,NA
1447,Marlene Ahrens Ostertag (-Ebensperger),F,23,176,70,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver
1450,Gunnar Johan hs,M,40,NA,NA,Sweden-1,SWE,1956 Winter,1956,Winter,Cortina d'Ampezzo,Bobsleigh,Bobsleigh Men's Four,NA
1454,Gustav Edgar Trner hsman,M,25,NA,NA,Sweden,SWE,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Heavyweight,NA
1459,Ren Ahumada Rodrguez,M,NA,NA,NA,Mexico,MEX,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
1459,Ren Ahumada Rodrguez,M,NA,NA,NA,Mexico,MEX,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Individual All-Around,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Silver
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horse Vault,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Parallel Bars,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Horizontal Bar,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Rings,NA
1483,Nobuyuki Aihara,M,21,154,53,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,NA
1489,Alexander Michael Hirst Aikman,M,23,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
1494,Mongkol Aimmanolrom,M,NA,NA,NA,Thailand,THA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,NA
1547,Edward Alabi Ajado,M,27,NA,NA,Nigeria,NGR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
1547,Edward Alabi Ajado,M,27,NA,NA,Nigeria,NGR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,NA
1572,Kanji Akagi,M,23,NA,NA,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,NA
1572,Kanji Akagi,M,23,NA,NA,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres,NA
1572,Kanji Akagi,M,23,NA,NA,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,NA
1572,Kanji Akagi,M,23,NA,NA,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,NA
1595,Hseyin Akba,M,NA,167,57,Turkey,TUR,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
2233,Noor Alam,M,26,172,73,Pakistan,PAK,1956 Summer,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Silver
2268,Pierre Alard,M,19,181,107,France,FRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Discus Throw,NA
2344,Reno Luigi Alberton,M,19,NA,NA,Italy,ITA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
2386,"Tenley Emma Albright (-Gardiner, -Blakely)",F,20,NA,NA,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Figure Skating,Figure Skating Women's Singles,Gold
2393,Kenneth Harrison Earl Albury,M,36,185,92,Bahamas,BAH,1956 Summer,1956,Summer,Melbourne,Sailing,Sailing Mixed One Person Dinghy,NA
