ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
8,"Cornelia ""Cor"" Aalten (-Strannood)",F,18,168,NA,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,NA
8,"Cornelia ""Cor"" Aalten (-Strannood)",F,18,168,NA,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,NA
454,"Edgar Allen ""Ed"" Ablowich",M,19,182,68,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
704,Dsir Antoine Acket,M,27,NA,NA,Belgium,BEL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
704,Dsir Antoine Acket,M,27,NA,NA,Belgium,BEL,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
746,Goro Adachi,M,19,156,56,Japan,JPN,1932 Winter,1932,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
842,Wayman Elbridge Adams,M,48,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
875,Jenny Marie Beatrice Addams,F,23,NA,NA,Belgium,BEL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Individual",NA
891,William Harold Ade,M,20,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA
909,Andr Adelheim,M,26,177,70,France,FRA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
955,Jikirum Adjaluddin,M,21,NA,NA,Philippines,PHI,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,NA
1138,Iwao Ageishi,M,24,166,72,Japan,JPN,1932 Winter,1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
1192,Carlo Agostoni Faini,M,23,170,NA,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Individual",Bronze
1192,Carlo Agostoni Faini,M,23,170,NA,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver
1333,Bruno Valfrid Ahlberg,M,21,168,69.5,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze
1359,Thure Johan Ahlqvist,M,25,NA,NA,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Silver
1510,Anna Airy (-Pocock),F,50,NA,NA,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
1619,Olle Erik Curys kerlund,M,20,NA,NA,Bissbi,SWE,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed 6 metres,Gold
2253,Salvador Alans Duque,M,19,180,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,NA
2549,Gaspare Alessandri,M,24,170,NA,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Featherweight,NA
2552,Hugh Vincenzo Alessandroni,M,24,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",Bronze
2553,Karl Theophil Christian Aletter,M,26,183,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Silver
2553,Karl Theophil Christian Aletter,M,26,183,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,NA
2660,Abdurahman Ali,M,21,NA,NA,Philippines,PHI,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
2777,Hermann Reinhard Alker,M,47,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",NA
2864,Richard James Allen,M,30,172,NA,India,IND,1932 Summer,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
2868,Russell D. Allen,M,19,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA
3098,Nils Olof sten Althin,M,27,NA,NA,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,NA
3155,Francisco Jos lvarez,M,NA,171,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Parallel Bars,NA
3155,Francisco Jos lvarez,M,NA,171,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Rings,NA
3155,Francisco Jos lvarez,M,NA,171,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Club Swinging,NA
3179,Jos Manuel lvarez,M,NA,170,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,NA
3179,Jos Manuel lvarez,M,NA,170,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,NA
3325,Santiago Amat Cansino,M,45,NA,NA,Spain,ESP,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,Bronze
3400,Salvador Amendola Filho,M,NA,178,NA,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,NA
3688,Anders Jakob Hartington Andersen,M,25,164,51,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
3715,Erling Norman Andersen,M,26,NA,NA,United States,USA,1932 Winter,1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,NA
3726,Gunnar Tycho Langhof Andersen,M,21,168,NA,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",NA
3759,"Else Lilly ""Lilli"" Andersen (-Svanberg)",F,17,NA,NA,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,NA
3759,"Else Lilly ""Lilli"" Andersen (-Svanberg)",F,17,NA,NA,Denmark,DEN,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,NA
3828,John Franklin Anderson,M,25,191,97,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,Gold
3865,"Osborne ""Ty"" Anderson",M,23,175,77,United States,USA,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
3922,Gustaf Emil Andersson,M,46,NA,NA,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
4160,Robert Day Andrews,M,75,NA,NA,United States,USA,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",NA
4319,Ludwig Angerer,M,41,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
4319,Ludwig Angerer,M,41,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
4319,Ludwig Angerer,M,41,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
4319,Ludwig Angerer,M,41,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",NA
4351,Heriberto Anguiano de la Fuente,M,21,170,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,NA
4434,Izuo Anno,M,22,NA,NA,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
